DateTime,Air temperature | (°C),Pressure | (atm),Wind speed | (m/s),Power generated by system | (MW),Predicted Power Generation | (MW)
2024-01-01 00:00:00,6.609,0.988077,10.868,53.181,54.273766659285286
2024-01-01 01:00:00,5.257,0.988969,10.679,51.908300000000004,54.273766659285286
2024-01-01 02:00:00,4.374,0.989708,11.2,56.354,54.273766659285286
2024-01-01 03:00:00,2.913,0.990171,10.962,54.936800000000005,54.273766659285286
2024-01-01 04:00:00,1.152,0.990264,11.307,57.7431,54.81397525406781
2024-01-01 05:00:00,1.392,0.990046,11.562,58.631,54.354667722715725
2024-01-01 06:00:00,-0.136,0.990179,11.954,59.884699999999995,56.898126006126645
2024-01-01 07:00:00,0.875,0.990362,12.547,59.9853,55.08671116787219
2024-01-01 08:00:00,-0.51,0.990411,10.588,51.7614,57.765073422460546
2024-01-01 09:00:00,-1.434,0.990271,9.792,43.2959,59.6100232616393
2024-01-01 10:00:00,-0.851,0.99013,10.488,51.1247,58.57822374407481
2024-01-01 11:00:00,-1.149,0.990233,10.022,46.2972,59.0326961720314
2024-01-01 12:00:00,-1.467,0.990431,10.014,46.1091,59.682211694111736
2024-01-01 13:00:00,-1.792,0.99065,9.425,39.3508,60.34365803820424
2024-01-01 14:00:00,-1.51,0.990998,8.695,32.0236,59.77991155174325
2024-01-01 15:00:00,-0.129,0.991218,8.19,26.7728,56.898126006126645
2024-01-01 16:00:00,0.578,0.990994,8.679,31.5292,55.52893492134006
2024-01-01 17:00:00,1.218,0.990432,9.148,36.4763,54.51489031879112
2024-01-01 18:00:00,1.912,0.989739,9.946,44.664699999999996,54.273766659285286
2024-01-01 19:00:00,2.415,0.989466,10.56,51.2096,54.273766659285286
2024-01-01 20:00:00,2.516,0.989109,11.217,56.7179,54.273766659285286
2024-01-01 21:00:00,2.306,0.988823,11.685,58.6436,54.273766659285286
2024-01-01 22:00:00,1.474,0.98892,11.955,59.468300000000006,54.33102590248075
2024-01-01 23:00:00,-0.151,0.989388,13.1,60.1515,56.898126006126645
2024-01-02 00:00:00,-1.479,0.989956,11.08,56.5811,59.682211694111736
2024-01-02 01:00:00,-1.583,0.990371,11.359,58.6297,59.92622334055581
2024-01-02 02:00:00,-1.902,0.990889,10.49,51.3924,60.38350679765098
2024-01-02 03:00:00,-2.703,0.991254,8.813,33.3709,61.14169757719154
2024-01-02 04:00:00,-3.204,0.991338,8.866,33.827400000000004,61.14169757719154
2024-01-02 05:00:00,-3.529,0.991458,8.949,33.8765,61.14169757719154
2024-01-02 06:00:00,-4.063,0.991947,8.518,29.513099999999998,61.14169757719154
2024-01-02 07:00:00,-4.453,0.992538,8.645,32.0246,61.14169757719154
2024-01-02 08:00:00,-5.077,0.993059,8.041,25.8397,61.14169757719154
2024-01-02 09:00:00,-5.459,0.993508,8.561,30.645799999999998,61.14169757719154
2024-01-02 10:00:00,-5.782,0.994135,7.39,19.4162,61.14169757719154
2024-01-02 11:00:00,-6.201,0.994834,8.286,28.084799999999998,61.14169757719154
2024-01-02 12:00:00,-6.524,0.995246,6.971,16.6971,60.95742349697781
2024-01-02 13:00:00,-6.89,0.995736,5.818,8.63931,60.95742349697781
2024-01-02 14:00:00,-6.769,0.996161,4.921,4.15653,60.95742349697781
2024-01-02 15:00:00,-5.901,0.996449,4.975,4.486560000000001,60.95742349697781
2024-01-02 16:00:00,-4.994,0.996292,4.035,1.5686900000000001,60.95742349697781
2024-01-02 17:00:00,-3.947,0.995881,3.372,0.0,60.95742349697781
2024-01-02 18:00:00,-2.871,0.99553,3.662,0.734266,60.95742349697781
2024-01-02 19:00:00,-1.869,0.995029,3.688,0.785912,60.34365803820424
2024-01-02 20:00:00,-1.122,0.994554,3.879,1.18696,58.963941225623884
2024-01-02 21:00:00,-0.623,0.994004,3.846,1.11553,57.94905343681782
2024-01-02 22:00:00,-0.797,0.993605,3.462,0.0,58.215778194285576
2024-01-02 23:00:00,-3.509,0.993442,4.074,1.51372,61.14169757719154
2024-01-03 00:00:00,-4.454,0.99327,4.441,2.47024,61.14169757719154
2024-01-03 01:00:00,-4.608,0.993158,3.582,0.0,61.14169757719154
2024-01-03 02:00:00,-4.668,0.992786,2.903,0.0,61.14169757719154
2024-01-03 03:00:00,-4.658,0.992518,2.949,0.0,61.14169757719154
2024-01-03 04:00:00,-4.785,0.992126,3.325,0.0,61.14169757719154
2024-01-03 05:00:00,-5.107,0.991674,2.695,0.0,61.14169757719154
2024-01-03 06:00:00,-5.299,0.991636,3.199,0.0,61.14169757719154
2024-01-03 07:00:00,-5.188,0.991826,3.802,0.985642,61.14169757719154
2024-01-03 08:00:00,-5.208,0.991923,4.442,2.63196,61.14169757719154
2024-01-03 09:00:00,-5.023,0.991819,5.159,5.1498,61.14169757719154
2024-01-03 10:00:00,-5.166,0.991697,5.722,7.98208,61.14169757719154
2024-01-03 11:00:00,-5.275,0.991527,7.101,17.2156,61.14169757719154
2024-01-03 12:00:00,-5.328,0.991328,7.647,22.1309,61.14169757719154
2024-01-03 13:00:00,-5.388,0.991276,8.07,25.707099999999997,61.14169757719154
2024-01-03 14:00:00,-4.076,0.991051,8.233,27.7486,61.14169757719154
